event_date,event_hour,region,total_data_volume_mb,avg_signal_strength,measurement_count,active_towers
2025-07-24,0,Central,56.0,-84.5,1,1
2025-07-24,0,North,327.4,-77.3,2,2
2025-07-24,0,South,55.3,-82.4,1,1
2025-07-24,1,Central,139.8,-84.5,1,1
2025-07-24,1,East,93.1,-88.1,1,1
2025-07-24,1,North,151.2,-84.35,2,2
2025-07-24,2,Central,532.8,-89.55,4,3
2025-07-24,3,East,221.1,-70.4,1,1
2025-07-24,3,North,84.2,-79.8,1,1
2025-07-24,3,South,91.9,-85.7,1,1
2025-07-24,3,West,177.1,-88.1,1,1
2025-07-24,4,East,205.2,-73.9,1,1
2025-07-24,4,North,130.2,-74.9,1,1
2025-07-24,4,South,267.4,-77.8,2,2
2025-07-24,5,Central,166.7,-84.3,1,1
2025-07-24,5,South,306.1,-79.03,3,2
2025-07-24,6,Central,52.3,-73.5,1,1
2025-07-24,6,North,222.2,-76.1,1,1
2025-07-24,6,South,134.4,-75.2,1,1
2025-07-24,6,West,249.2,-85.5,1,1
2025-07-24,7,Central,203.7,-76.2,1,1
2025-07-24,7,East,353.9,-72.35,2,2
2025-07-24,7,North,81.6,-87.7,1,1
2025-07-24,8,Central,53.9,-86.9,1,1
2025-07-24,8,East,98.2,-89.0,1,1
2025-07-24,8,North,213.2,-76.7,1,1
2025-07-24,8,South,82.3,-85.7,1,1
2025-07-24,9,Central,188.0,-76.1,1,1
2025-07-24,9,East,171.3,-81.8,1,1
2025-07-24,9,South,239.4,-78.5,1,1
2025-07-24,9,West,180.0,-70.1,1,1
2025-07-24,10,Central,99.6,-83.7,1,1
2025-07-24,10,East,160.8,-94.5,1,1
2025-07-24,10,North,398.1,-82.8,2,1
2025-07-24,11,Central,420.9,-90.35,2,2
2025-07-24,11,North,136.2,-92.6,1,1
2025-07-24,11,South,211.5,-75.4,1,1
2025-07-24,12,North,117.9,-84.9,1,1
2025-07-24,12,South,157.3,-90.2,1,1
2025-07-24,12,West,338.3,-86.85,2,2
2025-07-24,13,North,377.8,-75.25,2,2
2025-07-24,13,West,313.9,-78.85,2,2
2025-07-24,14,East,207.0,-71.8,1,1
2025-07-24,14,North,50.4,-90.9,1,1
2025-07-24,14,South,93.5,-90.3,1,1
2025-07-24,14,West,196.1,-77.6,1,1
2025-07-24,15,Central,62.2,-76.6,1,1
2025-07-24,15,North,396.4,-81.6,3,2
2025-07-24,15,South,5000.0,-76.3,1,1
2025-07-24,16,Central,287.2,-80.5,2,2
2025-07-24,16,South,112.8,-78.3,1,1
2025-07-24,16,West,228.1,-92.0,1,1
2025-07-24,17,East,237.1,-71.8,1,1
2025-07-24,17,North,151.2,-81.6,1,1
2025-07-24,17,West,341.7,-85.6,2,2
2025-07-24,18,East,225.9,-73.0,1,1
